,Name,Category,Number of Followers,Account created Date,Number of Likes,TwitterHandle,Content,RetweetCount,Location
10409,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,522,https://twitter.com/jkbjournalist,"Among the names thrown out in court today in New York: Les Wexner, CEO of Limited Brands and Victoria Secret, whom lawyer Alan Dershowitz says has been accused in court papers of having sex with young girls procured by sex trafficker Jeffrey Epstein. https://t.co/wfjdQEwvEY https://t.co/EcPQz1OlsE",357,Miami Florida
10410,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1380,https://twitter.com/jkbjournalist,"BREAKING NEWS: In lurid sidelight to Epstein scandal, lawyer Alan Dershowitz asks federal judge to dismiss defamation case brought by woman who alleges that she was forced to have sex with the Harvard professor by Jeffrey Epstein. https://t.co/wfjdQEwvEY",722,Miami Florida
10411,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,3553,https://twitter.com/jkbjournalist,"NEW: In federal court, lawyers for law professor Alan Dershowitz argued that their client is “ immune” from defamation claims no matter how many times he repeats them on Twitter...",1276,Miami Florida
10412,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,7774,https://twitter.com/jkbjournalist,"BREAKING NEWS: French police launch search at Jeffrey Epstein's Paris flat, Karin’s modeling agency after at least Three victims come forward in Paris probe. https://t.co/sJnkzdZq9a via @FRANCE24",3064,Miami Florida
10413,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1840,https://twitter.com/jkbjournalist,"@NYLawJournal Dershowitz had publicly dared the woman, Virginia Giuffre, to sue him, claiming he would be vindicated. She did, claiming his public statements defamed her. Now, he is claiming the case should be thrown out on First Amendment grounds.",654,Miami Florida
10414,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1868,https://twitter.com/jkbjournalist,"NEW TODAY: Lawyer Alan Dershowitz seeks to throw out lawsuit filed by a woman who has accused him of having sex with her when she was 17 at the direction of his former client, sex trafficker Jeffrey Epstein. https://t.co/PJOL0cuFOM via @NYLawJournal",1103,Miami Florida
10415,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1158,https://twitter.com/jkbjournalist,"Very honored to join @jaketapper as I receive a 2019 Lew Klein Alumni in the Media Award at my Alma Mater, Temple University in Philadelphia on Oct 4. Tickets available here as this is a fundraiser for young journalists. @TempleAlumni https://t.co/392nwrJT7K",145,Miami Florida
10416,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,247,https://twitter.com/jkbjournalist,Only in Philly 🦅 https://t.co/BkTHd6yG0D,40,Miami Florida
10417,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,436,https://twitter.com/jkbjournalist,"Women describe how Jeffrey Epstein manipulated, used them | Miami Herald https://t.co/YhLBooL5rX",234,Miami Florida
10418,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,338,https://twitter.com/jkbjournalist,"Republicans in the Florida House won’t act on prison reform, and that makes all of us less safe | Editorial https://t.co/ckqmHmd1eJ",110,Miami Florida
10419,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,241,https://twitter.com/jkbjournalist,Damn. https://t.co/9iRtl2VddH,35,Miami Florida
10420,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,426,https://twitter.com/jkbjournalist,🙄🙄🙄 https://t.co/qruXG5mgfu,109,Miami Florida
10421,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1112,https://twitter.com/jkbjournalist,Thank you. Comments like yours is why I do what I do. ❤️ https://t.co/seBxEkhBpT,112,Miami Florida
10422,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,539,https://twitter.com/jkbjournalist,"ICYMI: Jeffrey Epstein’s “Process” —- When you are in, you can’t get out.’ Women describe how The sex trafficker controlled them
https://t.co/YhLBooL5rX",267,Miami Florida
10423,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,2261,https://twitter.com/jkbjournalist,I should add that @thedailybeast has also been unafraid to report the names (and the truth) about enablers and conspirators who helped Jeffrey Epstein. Their coverage has been aggressive &amp; excellent.,370,Miami Florida
10424,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,5988,https://twitter.com/jkbjournalist,Why is the @MiamiHerald the only media organization who hasnt been afraid to NAME some of the men — besides Prince Andrew — accused of participating Epstein’s crimes? Why name Prince Andrew and ignore others? https://t.co/Y1PEeW1JlE,1903,Miami Florida
